wine number,acidity type 1,acidity type 2,citric acid,residual sugar,chlorides,sulfur dioxide type 1,sulfur dioxide type 2,pH,sulphates,alcohol,density,color,quality
948,7.1,0.34,0.31,5.2,0.032,36,140,3.35,0.47,12.3,0.99166,W,7
949,6.9,0.4,0.17,12.9,0.033,59,186,3.08,0.49,9.4,0.99754,W,5
950,5.8,0.25,0.26,13.1,0.051,44,148,3.29,0.38,9.3,0.9972,W,5
951,7.4,0.18,0.24,1.4,0.047,21,106,3.52,0.64,10.5,0.99383,W,7
952,7.4,0.2,0.28,9.1,0.047,29,95,3.16,0.47,9.8,0.99532,W,7
953,7.4,0.16,0.3,13.7,0.056,33,168,2.9,0.44,8.7,0.99825,W,7
954,8.4,0.56,0.04,2,0.082,10,22,3.22,0.44,9.6,0.9976,R,5
955,8.3,0.16,0.37,7.9,0.025,38,107,2.93,0.37,11.9,0.99306,W,6
956,6.8,0.25,0.34,4.7,0.031,34,134,3.21,0.38,10.6,0.9927,W,6
957,7.5,0.24,0.31,13.1,0.05,26,180,3.05,0.53,9.1,0.99884,W,6
958,7.4,0.36,0.3,1.8,0.074,17,24,3.24,0.7,11.4,0.99419,R,8
959,6.4,0.37,0.25,1.9,0.074,21,49,3.57,0.62,9.8,0.9974,R,6
960,7.6,0.2,0.26,4.5,0.086,37,133,3.15,0.42,9.2,0.9963,W,5
961,8.8,0.23,0.74,3.2,0.042,15,126,3.02,0.51,11.2,0.9934,W,6
962,6.1,0.38,0.15,1.8,0.072,6,19,3.42,0.57,9.4,0.9955,R,5
963,5.9,0.24,0.3,2,0.033,28,92,3.39,0.69,10.9,0.99225,W,7
964,6.4,0.21,0.21,5.1,0.097,21,105,3.07,0.46,9.6,0.9939,W,5
965,7.3,0.695,0,2.5,0.075,3,13,3.49,0.52,9.2,0.998,R,5
966,6.2,0.37,0.22,8.3,0.025,36,216,3.33,0.6,9.6,0.9964,W,6
967,8.6,0.36,0.26,11.1,0.03,43.5,171,3.03,0.49,12,0.9948,W,5
968,6.9,0.25,0.4,1.3,0.038,22,101,3.03,0.39,11.4,0.9901,W,6
969,6.1,0.17,0.29,1.1,0.041,32,92,3.26,0.57,11.2,0.99036,W,6
970,8,0.18,0.37,1.3,0.04,15,96,3.06,0.61,12.1,0.9912,W,6
971,6.7,0.33,0.34,6.6,0.067,35,156,3.11,0.48,9.3,0.99542,W,6
972,7.2,0.2,0.61,16.2,0.043,14,103,3.06,0.36,9.2,0.9987,W,6
973,7.2,0.27,0.37,5.4,0.026,27,114,3.13,0.84,12.7,0.99174,W,5
974,7.7,0.28,0.58,12.1,0.046,60,177,3.08,0.46,8.9,0.9983,W,5
975,8.4,0.58,0.27,12.15,0.033,37,116,2.99,0.39,10.8,0.9959,W,6
976,7,0.21,0.31,6,0.046,29,108,3.26,0.5,10.8,0.9939,W,6
977,7.4,0.17,0.4,5.5,0.037,34,161,3.05,0.62,11.5,0.9935,W,4
978,10.3,0.27,0.24,2.1,0.072,15,33,3.22,0.66,12.8,0.9956,R,6
979,7.2,0.37,0.32,2,0.062,15,28,3.23,0.73,11.3,0.9947,R,7
980,12.5,0.6,0.49,4.3,0.1,5,14,3.25,0.74,11.9,1.001,R,6
981,6.7,0.18,0.28,10.2,0.039,29,115,3.11,0.45,10.9,0.99469,W,7
982,10,0.35,0.45,2.5,0.092,20,88,3.15,0.43,9.4,0.99918,R,5
983,7.3,0.13,0.31,2.3,0.054,22,104,3.24,0.92,11.5,0.9924,W,7
984,6.2,0.35,0.03,1.2,0.064,29,120,3.22,0.54,9.1,0.9934,W,5
985,6.3,0.37,0.37,1.5,0.024,12,76,2.94,0.39,12.3,0.98876,W,6
986,6.7,0.25,0.26,13.5,0.06,50,156,3.39,0.46,9.9,0.99784,W,6
987,6.8,0.38,0.29,9.9,0.037,40,146,3.11,0.37,11.5,0.99326,W,6
988,6.9,0.765,0.18,2.4,0.243,5.5,48,3.4,0.6,10.3,0.99612,R,6
989,6,0.29,0.27,2.3,0.044,20,117,3.31,0.41,12.7,0.9895,W,7
990,7.1,0.31,0.47,13.6,0.056,54,197,3.1,0.49,9.3,0.9978,W,5
991,6.3,0.19,0.28,1.8,0.022,28,158,3.2,0.64,11.4,0.9907,W,6
992,6.1,0.41,0.2,12.6,0.032,54,136,2.91,0.43,10.6,0.99516,W,6
993,7.8,0.28,0.34,1.6,0.028,32,118,3,0.38,12.1,0.9901,W,7
994,6.8,0.56,0.03,1.7,0.084,18,35,3.44,0.63,10,0.9968,R,6
995,7.8,0.31,0.4,1.6,0.027,20,87,3.15,0.48,11.9,0.9911,W,6
996,8.1,0.27,0.35,1.7,0.03,38,103,3.22,0.63,10.4,0.99255,W,8
997,6.8,0.32,0.28,4.8,0.034,25,100,3.08,0.47,12.4,0.99026,W,7
998,10.4,0.52,0.45,2,0.08,6,13,3.22,0.76,11.4,0.99774,R,6
999,8,0.27,0.24,1.2,0.044,20,102,3.28,0.42,10.9,0.9929,W,5
1000,12.7,0.6,0.49,2.8,0.075,5,19,3.14,0.57,11.4,0.9994,R,5
1001,7,0.62,0.1,1.4,0.071,27,63,3.28,0.61,9.2,0.996,R,5
1002,8,0.25,0.27,9.7,0.036,15,85,2.99,0.36,11.2,0.99406,W,6
1003,5.8,0.15,0.28,0.8,0.037,43,127,3.24,0.51,9.3,0.99198,W,5
1004,7.2,0.36,0.36,5.7,0.038,26,98,2.93,0.59,12.5,0.9914,W,7
1005,7.5,0.705,0.24,1.8,0.36,15,63,3,1.59,9.5,0.9964,R,5
1006,12.4,0.35,0.49,2.6,0.079,27,69,3.12,0.75,10.4,0.9994,R,6
1007,6.2,0.45,0.26,4.4,0.063,63,206,3.27,0.52,9.8,0.994,W,4
1008,7.6,0.27,0.42,2.6,0.044,29,110,3.31,0.51,12.7,0.9912,W,6
1009,6.2,0.25,0.28,8.5,0.035,28,108,3.4,0.42,10.4,0.99486,W,6
1010,6.4,0.27,0.19,1.9,0.085,21,196,3.49,0.64,9.5,0.99516,W,4
1011,6.5,0.25,0.27,15.2,0.049,75,217,3.19,0.39,9.9,0.9972,W,5
1012,6.2,0.76,0.01,3.2,0.041,18,120,3.2,0.94,13.7,0.99026,W,7
1013,7.8,0.42,0.23,8.8,0.054,42,215,3.02,0.58,9.2,0.9971,W,6
1014,9.3,0.36,0.39,1.5,0.08,41,55,3.47,0.73,10.9,0.99652,R,6
1015,6.4,0.26,0.4,1.7,0.179,5,60,3.09,0.54,10.1,0.9925,W,5
1016,6.3,0.21,0.28,1.5,0.051,46,142,3.23,0.42,10.1,0.9928,W,6
1017,6.2,0.26,0.2,8,0.047,35,111,3.11,0.42,10.4,0.99445,W,6
1018,6.4,0.34,0.23,6.3,0.039,37,143,3.19,0.65,10,0.9944,W,6
1019,7.5,0.18,0.31,6.5,0.029,53,160,3.03,0.38,10.9,0.99276,W,6
1020,7.5,0.38,0.56,9.7,0.055,15,170,3.13,0.65,9.9,0.99605,W,6
1021,6.5,0.28,0.33,15.7,0.053,51,190,3.22,0.51,9.7,0.9978,W,6
1022,7.8,0.18,0.46,13.6,0.052,38,118,3.15,0.5,10,0.998,W,6
1023,6.8,0.21,0.27,18.15,0.042,41,146,3.3,0.36,8.7,1.0001,W,5
1024,5.4,0.29,0.38,1.2,0.029,31,132,3.28,0.36,12.4,0.98895,W,6
1025,6.1,0.45,0.27,0.8,0.039,13,82,3.23,0.32,9.5,0.9927,W,5
1026,6.3,0.13,0.42,1.1,0.043,63,146,3.13,0.72,11.2,0.99066,W,7
1027,6.4,0.22,0.49,7.5,0.054,42,151,3.27,0.52,10.1,0.9948,W,6
1028,5.8,0.23,0.21,1.5,0.044,21,110,3.3,0.57,11,0.99138,W,6
1029,7.2,0.13,0.46,1.3,0.044,48,111,2.97,0.45,11.1,0.99127,W,5
1030,7.4,0.19,0.31,14.5,0.045,39,193,3.1,0.5,9.2,0.9986,W,6
1031,7.3,0.55,0.03,1.6,0.072,17,42,3.37,0.48,9,0.9956,R,4
1032,7.3,0.33,0.47,2.1,0.077,5,11,3.33,0.53,10.3,0.9958,R,6
1033,6.3,0.28,0.24,8.45,0.031,32,172,3.39,0.57,9.7,0.9958,W,7
1034,8.2,0.64,0.27,2,0.095,5,77,3.13,0.62,9.1,0.99747,R,6
1035,9.7,0.69,0.32,2.5,0.088,22,91,3.29,0.62,10.1,0.9979,R,5
1036,7.1,0.23,0.35,16.5,0.04,60,171,3.16,0.59,9.1,0.999,W,6
1037,7,0.16,0.25,14.3,0.044,27,149,2.91,0.46,9.2,0.998,W,6
1038,8,0.28,0.3,8.4,0.03,35,115,2.93,0.42,12.3,0.99192,W,6
1039,7.9,0.26,0.41,15.15,0.04,38,216,2.96,0.6,10,0.9976,W,6
1040,7.2,0.835,0,2,0.166,4,11,3.39,0.52,10,0.99608,R,5
1041,6.5,0.25,0.5,7.6,0.047,54,184,3.17,0.45,9.2,0.99572,W,5
1042,6.5,0.28,0.29,2.7,0.038,26,107,3.32,0.41,11.6,0.9912,W,7
1043,7.7,0.4,0.27,4.5,0.034,27,95,3.21,0.59,12.3,0.99175,W,8
1044,7,0.28,0.33,14.6,0.043,47,168,3.34,0.67,8.8,0.9994,W,6
1045,5.7,0.25,0.22,9.8,0.049,50,125,3.2,0.45,10.1,0.99571,W,6
1046,5.2,0.3,0.34,1.5,0.038,18,96,3.56,0.48,13,0.98942,W,8
1047,6,0.5,0.04,2.2,0.092,13,26,3.46,0.47,10,0.99647,R,5
1048,7,0.55,0.05,8,0.036,19,164,3.26,0.46,12.2,0.99269,W,6
1049,7.4,0.21,0.27,7.3,0.031,41,144,3.15,0.38,11.8,0.9932,W,7
1050,6.6,0.27,0.3,1.9,0.025,14,153,3.29,0.62,10.5,0.9928,W,6
1051,5.3,0.47,0.1,1.3,0.036,11,74,3.48,0.54,11.2,0.99082,W,4
1052,6.6,0.16,0.25,9.8,0.049,59.5,137,3.16,0.38,10,0.995,W,6
1053,6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,9,0.99808,W,7
1054,6.8,0.17,0.34,2,0.04,38,111,3.24,0.45,12.9,0.99,W,6
1055,6.9,0.3,0.21,7.2,0.045,54,190,3.22,0.48,9.4,0.99595,W,5
1056,6.2,0.6,0.08,2,0.09,32,44,3.45,0.58,10.5,0.9949,R,5
1057,8.5,0.46,0.31,2.25,0.078,32,58,3.33,0.54,9.8,0.998,R,5
1058,6.3,0.22,0.43,4.55,0.038,31,130,3.35,0.33,11.5,0.9918,W,7
1059,5.2,0.48,0.04,1.6,0.054,19,106,3.54,0.62,12.2,0.9927,R,7
1060,6.4,0.31,0.28,2.5,0.039,34,137,3.22,0.38,12.7,0.98946,W,6
1061,6.1,0.27,0.44,6.7,0.041,61,230,3.12,0.4,8.9,0.99505,W,5
1062,6,0.26,0.26,2.2,0.035,10,72,3.11,0.48,12.15,0.989465,W,6
1063,7.6,0.16,0.44,1.4,0.043,25,109,3.11,0.75,10.3,0.9932,W,6
1064,6.3,0.29,0.28,4.7,0.059,28,81,3.24,0.56,12.7,0.99036,W,8
1065,6.8,0.48,0.08,1.8,0.074,40,64,3.12,0.49,9.6,0.99529,R,5
1066,9.2,0.22,0.4,2.4,0.054,18,151,3.04,0.46,9.3,0.9952,W,4
1067,9.9,0.63,0.24,2.4,0.077,6,33,3.09,0.57,9.4,0.9974,R,5
1068,6.7,0.16,0.32,12.5,0.035,18,156,2.88,0.36,9,0.99666,W,6
1069,8.9,0.12,0.45,1.8,0.075,10,21,3.41,0.76,11.9,0.99552,R,7
1070,7.5,0.33,0.38,8.7,0.126,49,199,2.98,0.57,9.4,0.99711,W,5
1071,6.6,0.26,0.27,1.5,0.04,19,114,3.36,0.62,10.5,0.99295,W,6
1072,9.8,1.24,0.34,2,0.079,32,151,3.15,0.53,9.5,0.998,R,5
1073,6.9,0.27,0.4,14,0.05,64,227,3.18,0.58,9.6,0.9979,W,6
1074,6.2,0.28,0.27,10.3,0.03,26,108,3.2,0.36,10.7,0.99388,W,6
1075,6.4,0.32,0.35,4.8,0.03,34,101,3.36,0.6,12.5,0.9912,W,8
1076,6.8,0.21,0.27,18.15,0.042,41,146,3.3,0.36,8.7,1.0001,W,5
1077,6.5,0.22,0.25,17.1,0.05,44,138,3.3,0.37,8.8,1.0001,W,5
1078,8.5,0.26,0.21,16.2,0.074,41,197,3.02,0.5,9.8,0.998,W,3
1079,6.9,0.4,0.56,11.2,0.043,40,142,3.14,0.46,8.7,0.9975,W,5
1080,12.6,0.39,0.49,2.5,0.08,8,20,3.07,0.82,10.3,0.9992,R,6
1081,6.5,0.14,0.32,2.7,0.037,18,89,3.4,0.74,11.5,0.9924,W,7
1082,6.8,0.23,0.33,1.9,0.047,20,101,3.1,0.46,11.1,0.9914,W,6
1083,6.8,0.59,0.06,6,0.06,11,18,3.41,0.59,10.8,0.9962,R,7
1084,7.1,0.43,0.25,2.8,0.036,43,132,3.21,0.47,13.4,0.98975,W,6
1085,6.8,0.27,0.12,1.3,0.04,87,168,3.18,0.41,10,0.992,W,5
1086,6.8,0.32,0.18,7.5,0.041,71,223,3.14,0.41,8.9,0.9959,W,5
1087,7.4,0.16,0.3,13.7,0.056,33,168,2.9,0.44,8.7,0.99825,W,7
1088,6.6,0.22,0.53,15.1,0.052,22,136,2.94,0.35,9.4,0.9986,W,5
1089,7.4,0.19,0.3,1.4,0.057,33,135,3.12,0.5,9.6,0.993,W,6
1090,7.1,0.53,0.07,1.7,0.071,15,24,3.29,0.66,10.8,0.9951,R,6
1091,8,0.27,0.57,10.4,0.053,18,134,3.12,0.68,9,0.99732,W,5
1092,6.9,0.29,0.23,8.6,0.056,56,215,3.17,0.44,8.8,0.9967,W,5
1093,7.3,0.18,0.31,17.3,0.055,32,197,3.13,0.46,9,1.0002,W,6
1094,5.8,0.385,0.25,3.7,0.031,38,122,3.2,0.63,11.2,0.99128,W,6
1095,6,0.44,0.26,3.1,0.053,57,128,3.22,0.39,12.7,0.98982,W,6
1096,6.1,0.21,0.19,1.4,0.046,51,131,3.22,0.39,10.5,0.99184,W,5
1097,9,0.785,0.24,1.7,0.078,10,21,3.29,0.67,10,0.99692,R,5
1098,7.4,0.21,0.3,8.1,0.047,13,114,3.12,0.35,10.5,0.9941,W,6
1099,6.8,0.22,0.35,5.5,0.043,21,114,3.3,0.53,10.7,0.9938,W,7
1100,6.6,0.14,0.44,1.6,0.042,47,140,3.32,0.51,10.2,0.993,W,6
1101,9.1,0.795,0,2.6,0.096,11,26,3.35,0.83,9.4,0.9994,R,6
1102,7.5,0.755,0,1.9,0.084,6,12,3.34,0.49,9.7,0.99672,R,4
1103,6.6,0.19,0.28,1.1,0.044,38,100,3.22,0.69,11.2,0.9904,W,6
1104,6.3,0.3,0.34,1.6,0.049,14,132,3.3,0.49,9.5,0.994,W,6
1105,7.2,0.25,0.19,8,0.044,51,172,3.16,0.44,9.2,0.9964,W,5
1106,12.6,0.31,0.72,2.2,0.072,6,29,2.88,0.82,9.8,0.9987,R,8
1107,5.4,0.375,0.4,3.3,0.054,29,147,3.42,0.52,9.1,0.99482,W,5
1108,5.2,0.2,0.27,3.2,0.047,16,93,3.44,0.53,10.1,0.99235,W,7
1109,6,0.24,0.41,1.3,0.036,42,118,3.04,0.64,11.73333333,0.99018,W,6
1110,9.1,0.36,0.39,1.8,0.06,21,55,3.18,0.82,11,0.99495,R,7
1111,7.3,0.73,0.24,1.9,0.108,18,102,3.26,0.59,9.3,0.9967,R,5
1112,6.4,0.32,0.23,16.2,0.055,36,176,3.26,0.54,9.1,0.9986,W,5
1113,8.9,0.12,0.45,1.8,0.075,10,21,3.41,0.76,11.9,0.99552,R,7
1114,6.4,0.31,0.09,1.4,0.066,15,28,3.42,0.7,10,0.99459,R,7
1115,6.3,0.16,0.4,1.6,0.033,59,148,3.44,0.53,11.4,0.9914,W,5
1116,7.6,0.3,0.37,1.6,0.087,27,177,3.09,0.5,9.8,0.99438,W,5
1117,8.9,0.745,0.18,2.5,0.077,15,48,3.2,0.47,9.7,0.99739,R,6
1118,7.1,0.24,0.41,17.8,0.046,39,145,3.32,0.39,8.7,0.9998,W,5
1119,7.4,0.27,0.28,1.8,0.04,45,121,3.02,0.4,11.9,0.99043,W,5
1120,7.6,0.28,0.49,20.15,0.06,30,145,3.01,0.44,8.5,1.00196,W,5
1121,6.5,0.17,0.31,1.5,0.041,34,121,3.06,0.46,10.5,0.99092,W,6
1122,7.2,0.66,0.03,2.3,0.078,16,86,3.53,0.57,9.7,0.99743,R,5
1123,6.9,0.57,0,2.8,0.081,21,41,3.41,0.52,10.8,0.99518,R,5
1124,6.6,0.22,0.36,5.5,0.029,30,105,3.2,0.47,11.8,0.99206,W,6
1125,7.3,0.21,0.3,10.9,0.037,18,112,3.4,0.5,9.6,0.997,W,6
1126,5.9,0.23,0.3,12.9,0.054,57,170,3.28,0.39,9.4,0.9972,W,5
1127,6.6,0.56,0.22,8.9,0.034,27,133,3.2,0.51,9.1,0.99675,W,5
1128,7.6,0.31,0.27,5.8,0.036,23,109,3.34,0.54,11,0.99399,W,6
1129,7.4,0.36,0.34,1.8,0.075,18,38,3.38,0.88,13.6,0.9933,R,7
1130,7.5,0.27,0.36,7,0.036,45,164,3.03,0.33,11,0.9939,W,5
1131,6.2,0.16,0.54,1.4,0.126,37,110,3.23,0.37,8.9,0.9932,W,6
1132,7.4,0.785,0.19,5.2,0.094,19,98,3.16,0.52,9.6,0.99713,R,6
1133,8.5,0.25,0.31,2.8,0.032,11,61,3.06,0.44,11.5,0.99189,W,6
1134,5.3,0.24,0.33,1.3,0.033,25,97,3.59,0.38,11,0.9906,W,8
1135,5.8,0.17,0.34,1.8,0.045,96,170,3.38,0.9,11.8,0.99035,W,8
1136,6.7,0.28,0.28,2.4,0.012,36,100,3.26,0.39,11.7,0.99064,R,7
1137,7.1,0.28,0.44,1.8,0.032,32,107,3.25,0.48,12.2,0.9907,W,7
1138,6.2,0.39,0.24,4.8,0.037,45,138,3.23,0.43,11.2,0.99174,W,7
1139,6.6,0.19,0.43,10.9,0.045,53,154,3.52,0.77,10.4,0.99752,W,6
1140,7.4,0.36,0.23,1.9,0.017,31,69,2.93,0.36,12.5,0.9892,W,6
1141,5.9,0.24,0.34,2,0.037,40,108,3.19,0.5,12.3,0.98948,W,6
1142,6.9,0.33,0.31,7.7,0.04,29,135,3.11,0.57,12.3,0.99226,W,5
1143,6.7,0.37,0.25,2.5,0.028,24,84,3.14,0.36,11.7,0.9909,W,6
1144,11.5,0.18,0.51,4,0.104,4,23,3.28,0.97,10.1,0.9996,R,6
1145,5.8,0.29,0.33,3.7,0.029,30,88,3.25,0.42,12.3,0.98994,W,6
1146,9.1,0.5,0.3,1.9,0.065,8,17,3.32,0.71,10.5,0.99774,R,6
1147,7.3,0.51,0.26,3.3,0.09,7,135,3.01,0.52,8.8,0.9944,W,5
1148,6.9,0.23,0.34,4,0.047,24,128,3.2,0.52,9.7,0.9944,W,6
1149,7.5,0.6,0.03,1.8,0.095,25,99,3.35,0.54,10.1,0.995,R,5
1150,6.2,0.32,0.12,4.8,0.054,6,97,3.16,0.5,9.3,0.99424,W,5
1151,8.1,0.45,0.34,8.3,0.037,33,216,3.31,0.64,9.7,0.9976,W,5
1152,8.2,0.18,0.38,1.1,0.04,41,92,2.88,0.6,12,0.99062,W,6
1153,6,0.42,0.19,2,0.075,22,47,3.39,0.78,10,0.99522,R,6
1154,6.8,0.32,0.33,0.7,0.027,15,66,3.11,0.31,11.8,0.9899,W,6
1155,7.3,0.17,0.36,8.2,0.028,44,111,3.14,0.41,12.4,0.99272,W,6
1156,6.4,0.25,0.33,1.4,0.04,42,115,3.19,0.48,11.3,0.9906,W,7
1157,5.6,0.28,0.4,6.1,0.034,36,118,3.21,0.43,12.1,0.99144,W,7
1158,7,0.23,0.42,1.1,0.062,35,100,3.04,0.4,9.2,0.99318,W,5
1159,7.7,0.34,0.3,8,0.048,25,192,2.97,0.47,10.9,0.9951,W,5
1160,8,0.58,0.16,2,0.12,3,7,3.22,0.58,11.2,0.99454,R,6
1161,8.3,0.53,0,1.4,0.07,6,14,3.25,0.64,10,0.99593,R,6
1162,6.6,0.2,0.27,10.9,0.038,29,130,3.11,0.44,10.5,0.99496,W,7
1163,7.4,0.16,0.3,13.7,0.056,33,168,2.9,0.44,8.7,0.99825,W,7
1164,7.3,0.28,0.42,14.4,0.04,49,173,3.28,0.82,9,0.9994,W,7
1165,7.1,0.31,0.3,2.2,0.053,36,127,2.94,1.62,9.5,0.9965,R,5
1166,6.6,0.25,0.36,8.1,0.045,54,180,3.08,0.42,9.2,0.9958,W,5
1167,6.9,0.55,0.15,2.2,0.076,19,40,3.41,0.59,10.1,0.9961,R,5
1168,5.6,0.18,0.58,1.25,0.034,29,129,3.51,0.6,12,0.98984,W,7
1169,6.5,0.32,0.23,1.2,0.054,39,208,3.18,0.46,9.9,0.99272,W,6
1170,5.2,0.34,0.37,6.2,0.031,42,133,3.25,0.41,12.5,0.99076,W,6
1171,7.6,0.29,0.49,2.7,0.092,25,60,3.31,0.61,10.1,0.9971,R,6
1172,7,0.21,0.28,8.6,0.045,37,221,3.25,0.54,10.4,0.9954,W,6
1173,9,0.82,0.14,2.6,0.089,9,23,3.39,0.63,9.8,0.9984,R,5
1174,5.4,0.17,0.27,2.7,0.049,28,104,3.46,0.55,10.3,0.99224,W,6
1175,7.4,0.16,0.27,15.5,0.05,25,135,2.9,0.43,8.7,0.9984,W,7
1176,7.7,0.775,0.42,1.9,0.092,8,86,3.23,0.59,9.5,0.9959,R,5
1177,6.2,0.66,0.48,1.2,0.029,29,75,3.33,0.39,12.8,0.9892,W,8
1178,10.5,0.51,0.64,2.4,0.107,6,15,3.09,0.66,11.8,0.9973,R,7
1179,6.3,0.28,0.3,6.6,0.208,60,154,3.1,0.4,9.4,0.99478,W,6
1180,5.3,0.36,0.27,6.3,0.028,40,132,3.37,0.4,11.6,0.99186,W,6
1181,9,0.31,0.48,6.6,0.043,11,73,2.9,0.38,11.6,0.9938,W,5
1182,7.2,0.4,0.24,8.5,0.055,45,151,3.2,0.52,9.2,0.99626,W,5
1183,6.8,0.27,0.32,1.5,0.044,19,142,3.1,0.43,9.9,0.9921,W,6
1184,6.2,0.24,0.35,1.2,0.038,22,167,3.1,0.48,10.6,0.9912,W,6
1185,8.1,0.24,0.26,11,0.043,41,211,3.11,0.49,10,0.99676,W,6
1186,5.8,0.26,0.24,9.2,0.044,55,152,3.31,0.38,9.4,0.9961,W,5
1187,8,0.16,0.36,1.5,0.033,14,122,3.2,0.39,10.3,0.9941,W,4
1188,6.4,0.19,0.35,10.2,0.043,40,106,3.16,0.5,9.7,0.99632,W,6
1189,6.9,0.74,0.03,2.3,0.054,7,16,3.45,0.63,11.5,0.99508,R,6
1190,6.6,0.38,0.28,2.8,0.043,17,67,3.21,0.47,13.2,0.98924,W,6
1191,6.9,0.21,0.62,6.3,0.042,7,109,2.96,0.59,10.2,0.99358,W,6
1192,8.6,0.52,0.38,1.5,0.096,5,18,3.2,0.52,9.4,0.99666,R,5
1193,8,0.43,0.4,12.4,0.168,29,190,3.07,0.64,9.2,0.9991,W,5
1194,6.7,0.31,0.32,14.5,0.038,6,79,3.14,0.34,12.5,0.99412,W,5
1195,7.8,0.63,0.48,1.7,0.1,14,96,3.19,0.62,9.5,0.9961,R,5
1196,7,0.28,0.33,14.6,0.043,47,168,3.34,0.67,8.8,0.9994,W,6
1197,6.6,0.3,0.74,4.6,0.041,36,159,3.21,0.45,9.9,0.9946,W,5
1198,8.7,0.29,0.52,1.6,0.113,12,37,3.25,0.58,9.5,0.9969,R,5
1199,6.1,0.3,0.32,2.2,0.042,41,142,3.31,0.44,12.7,0.98952,W,7
1200,7.2,0.2,0.38,1,0.037,21,74,3.21,0.37,11,0.9918,W,5
1201,7.1,0.66,0,2.4,0.052,6,11,3.35,0.66,12.7,0.99318,R,7
1202,6.1,0.37,0.2,7.6,0.031,49,170,3.22,0.48,9.5,0.99558,W,5
1203,6.4,0.29,0.3,6.5,0.209,62,156,3.1,0.4,9.4,0.99478,W,5
1204,7.8,0.4,0.49,7.8,0.06,34,162,3.26,0.58,11.3,0.9966,W,6
1205,7.3,0.98,0.05,2.1,0.061,20,49,3.31,0.55,9.7,0.99705,R,3
1206,9.1,0.29,0.33,2.05,0.063,13,27,3.26,0.84,11.7,0.99516,R,7
1207,6.5,0.37,0.33,3.5,0.036,23,92,3.18,0.38,11.2,0.99136,W,6
1208,7,0.59,0,1.7,0.052,3,8,3.41,0.47,10.3,0.996,R,5
1209,6.8,0.18,0.21,5.4,0.053,34,104,3.3,0.43,9.4,0.99445,W,5
1210,6.8,0.47,0.08,2.2,0.064,18,38,3.3,0.65,9.6,0.99553,R,6
1211,6.4,0.43,0.27,1.1,0.054,5,110,3.24,0.52,9.1,0.9939,W,4
1212,6.6,0.39,0.22,4,0.038,17,98,3.25,0.53,13,0.99018,W,7
1213,6.7,0.42,0.39,12.1,0.04,61,248,3.31,0.58,9.7,0.99794,W,5
1214,7,0.23,0.4,1.6,0.063,21,67,3.5,0.63,11.1,0.9952,R,5
1215,6.2,0.24,0.27,16.8,0.04,48,129,3.23,0.38,10.5,0.99691,W,6
1216,13.3,0.43,0.58,1.9,0.07,15,40,3.06,0.49,9,1.0004,R,5
1217,5.3,0.47,0.11,2.2,0.048,16,89,3.54,0.88,13.56666667,0.99182,R,7
1218,6.9,0.4,0.42,6.2,0.066,41,176,3.12,0.54,9.4,0.99552,W,5
1219,7.1,0.47,0,2.2,0.067,7,14,3.4,0.58,10.9,0.99517,R,4
1220,6.2,0.63,0.31,1.7,0.088,15,64,3.46,0.79,9.3,0.9969,R,5
1221,5.4,0.53,0.16,2.7,0.036,34,128,3.2,0.53,13.2,0.98856,W,8
1222,6.8,0.18,0.35,5.4,0.054,53,143,3.1,0.54,11,0.99287,W,7
1223,8.7,0.52,0.09,2.5,0.091,20,49,3.34,0.86,10.6,0.9976,R,7
1224,7.9,0.29,0.36,11.1,0.033,43,208,3.14,0.46,10.3,0.9969,W,5
1225,6.7,0.31,0.3,2.1,0.038,18,130,3.36,0.63,10.6,0.9928,W,6
1226,7.6,0.26,0.47,1.6,0.068,5,55,3.1,0.45,9.6,0.9944,W,5
1227,7.2,0.41,0.3,2.1,0.083,35,72,3.44,0.52,9.4,0.997,R,5
1228,5.8,0.19,0.33,4.2,0.038,49,133,3.16,0.42,11.3,0.99107,W,7
1229,6.2,0.25,0.42,8,0.049,53,206,3.16,0.47,9.1,0.99586,W,6
1230,5.9,0.5,0.05,2.6,0.054,36,146,3.43,0.5,9.2,0.9948,W,6
1231,6.5,0.24,0.32,7.6,0.038,48,203,3.45,0.54,9.7,0.9958,W,7
1232,7,0.53,0.43,6.1,0.029,6,76,3.08,0.5,12.5,0.99118,W,8
1233,6,0.615,0.04,0.8,0.032,8,50,3.14,0.4,11,0.99036,W,4
1234,8.2,0.28,0.4,2.4,0.052,4,10,3.33,0.7,12.8,0.99356,R,7
1235,6.8,0.32,0.21,2.2,0.044,15,68,3.17,0.39,9.4,0.9932,W,6
1236,5.9,0.19,0.21,1.7,0.045,57,135,3.32,0.44,9.5,0.99341,W,5
1237,7.8,0.21,0.49,1.35,0.052,6,48,3.15,0.28,11.4,0.9911,W,5
1238,9.4,0.17,0.55,1.6,0.049,14,94,3.02,0.61,10.3,0.9949,W,6
1239,7.2,0.23,0.32,8.5,0.058,47,186,3.19,0.4,9.9,0.9956,W,6
1240,6.4,0.25,0.74,7.8,0.045,52,209,3.21,0.42,9.2,0.9956,W,6
1241,9.4,0.27,0.53,2.4,0.074,6,18,3.2,1.13,12,0.9962,R,7
1242,9.6,0.77,0.12,2.9,0.082,30,74,3.3,0.64,10.4,0.99865,R,6
